"('Room 1', 'year')",2020
"('Room 1', 'month')",6
"('Room 1', 'day')",8
"('Room 1', 'adults')",2
"('Room 1', 'kids')",0
"('Room 1', 'babies')",0
"('Room 1', 'breakfast')",1
"('Room 1', 'member')",1
"('Room 1', 'rank')",AAABC
"('Room 1', 'r_type')",NTY
"('Room 1', 'name')",Room 1
"('Room 2', 'year')",2020
"('Room 2', 'month')",6
"('Room 2', 'day')",8
"('Room 2', 'adults')",2
"('Room 2', 'kids')",0
"('Room 2', 'babies')",0
"('Room 2', 'breakfast')",1
"('Room 2', 'member')",1
"('Room 2', 'rank')",AAAB
"('Room 2', 'r_type')",NDS
"('Room 2', 'name')",Room 2
"('Room 3', 'year')",2020
"('Room 3', 'month')",6
"('Room 3', 'day')",8
"('Room 3', 'adults')",2
"('Room 3', 'kids')",0
"('Room 3', 'babies')",0
"('Room 3', 'breakfast')",True
"('Room 3', 'member')",True
"('Room 3', 'rank')",AAABC
"('Room 3', 'r_type')",NDS
"('Room 3', 'name')",Room 3
"('Room 4', 'year')",2020
"('Room 4', 'month')",6
"('Room 4', 'day')",8
"('Room 4', 'adults')",2
"('Room 4', 'kids')",0
"('Room 4', 'babies')",0
"('Room 4', 'breakfast')",1
"('Room 4', 'member')",1
"('Room 4', 'rank')",AAAB
"('Room 4', 'r_type')",NDS
"('Room 4', 'name')",Room 4
"('Room 5', 'year')",2020
"('Room 5', 'month')",6
"('Room 5', 'day')",8
"('Room 5', 'adults')",2
"('Room 5', 'kids')",0
"('Room 5', 'babies')",0
"('Room 5', 'breakfast')",True
"('Room 5', 'member')",True
"('Room 5', 'rank')",
"('Room 5', 'r_type')",NTY
"('Room 5', 'name')",Room 5
"('Room 6', 'year')",2020
"('Room 6', 'month')",6
"('Room 6', 'day')",8
"('Room 6', 'adults')",2
"('Room 6', 'kids')",0
"('Room 6', 'babies')",0
"('Room 6', 'breakfast')",True
"('Room 6', 'member')",True
"('Room 6', 'rank')",
"('Room 6', 'r_type')",NTY
"('Room 6', 'name')",Room 6
"('Room 7', 'year')",2020
"('Room 7', 'month')",6
"('Room 7', 'day')",8
"('Room 7', 'adults')",2
"('Room 7', 'kids')",0
"('Room 7', 'babies')",0
"('Room 7', 'breakfast')",True
"('Room 7', 'member')",True
"('Room 7', 'rank')",
"('Room 7', 'r_type')",NTY
"('Room 7', 'name')",Room 7
"('Room 8', 'year')",2020
"('Room 8', 'month')",6
"('Room 8', 'day')",8
"('Room 8', 'adults')",2
"('Room 8', 'kids')",0
"('Room 8', 'babies')",0
"('Room 8', 'breakfast')",True
"('Room 8', 'member')",True
"('Room 8', 'rank')",
"('Room 8', 'r_type')",NTY
"('Room 8', 'name')",Room 8
representant_name,Bartosz Lulka
representant_sex,2
res_number,100012356
guest_number,3
"('Guest_name ', 1)",John Smith
"('Guest_sex ', 1)",0
"('Guest_room ', 1)",Room 1
"('Guest_name ', 2)",Julia Roberts
"('Guest_sex ', 2)",1
"('Guest_room ', 2)",Room 2
"('Guest_name ', 3)",Anthony Beck
"('Guest_sex ', 3)",2
"('Guest_room ', 3)",Room 3
"('Guest_name ', 4)",
"('Guest_sex ', 4)",2
"('Guest_room ', 4)",Room 4
"('Guest_name ', 5)",
"('Guest_sex ', 5)",2
"('Guest_room ', 5)",Room 4
"('Guest_name ', 6)",
"('Guest_sex ', 6)",2
"('Guest_room ', 6)",Room 4
"('Guest_name ', 7)",
"('Guest_sex ', 7)",2
"('Guest_room ', 7)",Room 4
"('Guest_name ', 8)",
"('Guest_sex ', 8)",2
"('Guest_room ', 8)",Room 4
